Probe_ID,Healthy_Mean,Cancer_Mean,Log2FC,Gene
11745442_x_at,7.122254054054055,7.079696938775511,-0.0075789737167846205,
11745443_x_at,5.791162837837836,6.40579387755102,0.12499577058685718,
11745444_a_at,3.162680405405405,3.0948714285714285,-0.023694643544787564,
11745445_a_at,2.6447006756756757,2.2772030612244896,-0.15333526923383056,
11745446_x_at,2.3564364864864857,1.939265306122449,-0.191474756231917,
11745447_x_at,5.732037162162162,6.173527551020409,0.09163959178855174,
11745448_a_at,2.5217304054054055,2.4910816326530614,-0.012610380469827875,
11745449_x_at,2.0960155405405403,2.3304081632653064,0.1052862866785973,
11745450_a_at,7.88603581081081,7.072288775510205,-0.13856216955031941,
11745451_x_at,6.752612837837838,6.634287755102043,-0.02218905284217021,
11745452_a_at,2.4366466216216214,2.4081612244897963,-0.012007927571243249,
11745453_x_at,4.063941216216216,4.2036632653061226,0.03926694909871875,
11745454_a_at,7.879419594594596,5.293185714285714,-0.49667485953429935,
11745455_a_at,3.304339189189189,3.244870408163265,-0.020071258827264238,
11745456_a_at,2.1293527027027026,2.145391836734694,0.007375480987244387,
11745457_a_at,6.76024054054054,7.228207142857142,0.08447674212403466,
11745458_a_at,2.708247297297297,2.8125122448979596,0.040004512888953236,
11745459_a_at,3.653303378378378,5.463978571428571,0.47416716684901195,
11745460_at,5.367646621621621,4.967245918367347,-0.0936950408669337,
11745461_s_at,2.7976844594594596,2.531527551020408,-0.10482768872549442,
11745462_a_at,8.581050675675675,9.005776530612245,0.0625773582513629,
11745463_x_at,8.278161486486487,8.69435918367347,0.0633065799598338,
11745464_x_at,6.861652027027027,8.043771428571429,0.20209202150157912,
11745465_x_at,6.186670945945947,3.4749224489795916,-0.6834609508144291,
11745466_a_at,3.5279040540540536,4.132633673469387,0.18085590824172826,
11745467_a_at,5.132724324324324,4.816701020408164,-0.07632694974918852,
11745468_a_at,2.544089864864865,2.4689020408163267,-0.030936085130562674,
11745469_a_at,4.71622027027027,4.748387755102041,0.008095870792162785,
